opName,kind,domain,clientGraphql,target,apiMcpName,status,mismatchReason,proposedFix
"editPago","mutation","Presupuesto / Plan Espacios","mutation($evento_id:String, $categoria_id:String, $gasto_id: String, $pago_id:String,$pagos_array:pagos_arrayAinput){ editPago(evento_id:$evento_id, categoria_id:$categoria_id, gasto_id:$gasto_id,pago_id:$pago_id, pagos_array:$pagos_array){ categorias_array{ pagado gastos_array{ pagado pagos_array{ _id estado fecha_creacion fecha_pago fe","api-mcp","editPago","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editPresupuesto","mutation","Presupuesto / Plan Espacios","mutation($evento_id:String, $coste_estimado:Float, $viewEstimates:Boolean, $presupuesto_total:Float ){ editPresupuesto( evento_id:$evento_id, coste_estimado:$coste_estimado, viewEstimates:$viewEstimates, presupuesto_total:$presupuesto_total){ presupuesto_total viewEstimates coste_final coste_estimado pagado currency visibleColumns { accessor show } totalStimatedGuests{ children adults } categorias_array { _id coste_proporcion coste_estimado coste_final","api-mcp","editPresupuesto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getPlanSpaceSelect","query","Presupuesto / Plan Espacios","query ($evento_id: ID, $isOwner: Boolean) { getPlanSpaceSelect(evento_id: $evento_id, isOwner: $isOwner) }","api-mcp","getPlanSpaceSelect","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getPsTemplate","query","Presupuesto / Plan Espacios","query ($uid: String, $evento_id: ID!, $development: String!) { getPsTemplate(uid: $uid, evento_id: $evento_id, development: $development) { _id title } }","api-mcp","getPsTemplate","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"nuevoCategoria","mutation","Presupuesto / Plan Espacios","mutation ($evento_id: String, $nombre: String){ nuevoCategoria(evento_id:$evento_id, nombre:$nombre){ _id coste_proporcion coste_estimado coste_final pagado nombre gastos_array { _id coste_estimado coste_final pagado nombre pagos_array { _id estado fecha_creacion fecha_pago fecha_vencimiento medio_pago importe } items_array{ _id next_id unidad cantidad nombre","api-mcp","nuevoCategoria","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"nuevoGasto","mutation","Presupuesto / Plan Espacios","mutation($evento_id: String ,$categoria_id: String, $nombre: String){ nuevoGasto(evento_id:$evento_id, categoria_id:$categoria_id,nombre:$nombre){ _id coste_proporcion coste_estimado coste_final pagado nombre linkTask estatus pagos_array{ _id estado fecha_creacion fecha_pago fecha_vencimiento medio_pago importe","api-mcp","nuevoGasto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"nuevoItemGasto","mutation","Presupuesto / Plan Espacios","mutation($evento_id: ID, $categoria_id: ID, $gasto_id: ID, $itemGasto:itemGastoInput){ nuevoItemGasto(evento_id:$evento_id, categoria_id:$categoria_id, gasto_id:$gasto_id, itemGasto:$itemGasto){ _id next_id unidad cantidad nombre valor_unitario total estatus fecha_creacion } }","api-mcp","nuevoItemGasto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"nuevoPago","mutation","Presupuesto / Plan Espacios","mutation($evento_id:String, $categoria_id:String, $gasto_id: String,$pagos_array:[pagos_arrayAinput]){ nuevoPago(evento_id:$evento_id, categoria_id:$categoria_id, gasto_id:$gasto_id, pagos_array:$pagos_array){ pagado categorias_array{ pagado gastos_array{ _id coste_proporcion coste_estimado coste_final pagado nombre linkTask","api-mcp","nuevoPago","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"setPlanSpaceSelect","mutation","Presupuesto / Plan Espacios","mutation ($evento_id: ID, $planSpaceSelect: ID, $isOwner: Boolean) { setPlanSpaceSelect(evento_id: $evento_id, planSpaceSelect: $planSpaceSelect, isOwner: $isOwner) }","api-mcp","setPlanSpaceSelect","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"addTaskAttachments","mutation","Tareas / Itinerario","mutation ($eventID: String, $itinerarioID: String, $taskID: String, $attachment: inputFileData) { addTaskAttachments(eventID: $eventID, itinerarioID: $itinerarioID, taskID: $taskID, attachment: $attachment) }","api-mcp","addTaskAttachments","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createItinerario","mutation","Tareas / Itinerario","mutation ($eventID:String, $title:String, $dateTime:String, $tipo:String, $next_id:ID){ createItinerario(eventID:$eventID, title:$title, dateTime:$dateTime, tipo:$tipo, next_id:$next_id ){ _id next_id title tasks{ _id fecha hora horaActiva icon descripcion responsable duracion tags tips estatus attachments{ _id name url size createdAt updatedAt } spectatorView comments{ _id","api-mcp","createItinerario","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createTask","mutation","Tareas / Itinerario","mutation ($eventID:String, $itinerarioID:String, $fecha:String, $descripcion:String, $hora:String, $duracion:Int){ createTask(eventID:$eventID, itinerarioID:$itinerarioID, fecha:$fecha, descripcion:$descripcion, hora:$hora, duracion:$duracion ){ _id fecha hora horaActiva icon descripcion responsable duracion tags tips estatus attachments{ _id name url size createdAt updatedAt } spectatorView comments{ _id comment uid creat","api-mcp","createTask","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"deleteTaskAttachment","mutation","Tareas / Itinerario","mutation ($eventID: String, $itinerarioID: String, $taskID: String, $attachmentID: String) { deleteTaskAttachment(eventID: $eventID, itinerarioID: $itinerarioID, taskID: $taskID, attachmentID: $attachmentID) }","api-mcp","deleteTaskAttachment","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"duplicateItinerario","mutation","Tareas / Itinerario","mutation ($eventID:String, $itinerarioID:String, $eventDestinationID:String, $next_id:ID, $storageBucket:String){ duplicateItinerario(eventID:$eventID, itinerarioID:$itinerarioID, eventDestinationID:$eventDestinationID, next_id:$next_id, storageBucket:$storageBucket){ _id next_id title tasks{ _id fecha hora horaActiva icon descripcion responsable duracion tags tips estatus attachments{ _id name url size createdAt","api-mcp","duplicateItinerario","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editItinerario","mutation","Tareas / Itinerario","mutation ($eventID:String, $itinerarioID:String, $variable:String, $valor:String, $next_id:ID){ editItinerario(eventID:$eventID itinerarioID:$itinerarioID, variable:$variable, valor:$valor, next_id:$next_id ) }","api-mcp","editItinerario","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editTask","mutation","Tareas / Itinerario","mutation ($eventID:String, $itinerarioID:String, $taskID:String, $variable:String, $valor:String){ editTask(eventID:$eventID itinerarioID:$itinerarioID taskID:$taskID variable:$variable valor:$valor ) }","api-mcp","editTask","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"singleUpload","mutation","Uploads / Media","mutation($file:Upload!,$use:String) { singleUpload(file:$file,use:$use){ _id i640 } }","api-mcp","singleUpload","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"uploadBase64MediaToFacebook","mutation","Uploads / Media","mutation($base64Image: String!, $fileName: String!, $development: String){ uploadBase64MediaToFacebook(base64Image: $base64Image, fileName: $fileName, development: $development){ success handle message error } }","api-mcp","uploadBase64MediaToFacebook","exact","Deployed 2026-05-16 en api-mcp PROD (verificado smoke test con idToken real)","Sin cambio cliente — endpoint deployed con args idénticos"
"uploadMediaToFacebook","mutation","Uploads / Media","mutation($fileName: String!, $fileBuffer: String!, $fileType: String!, $development: String){ uploadMediaToFacebook(fileName: $fileName, fileBuffer: $fileBuffer, fileType: $fileType, development: $development){ success handle message error } }","api-mcp","uploadMediaToFacebook","exact","Deployed 2026-05-16 en api-mcp PROD (verificado smoke test con idToken real)","Sin cambio cliente — endpoint deployed con args idénticos"
"createWhatsappInvitationTemplate","mutation","WhatsApp","mutation($evento_id:ID, $data: JSON){ createWhatsappInvitationTemplate(evento_id:$evento_id, data:$data) }","api-mcp","createWhatsappInvitationTemplate","exact","Deployed 2026-05-16 en api-mcp PROD (verificado smoke test con idToken real)","Sin cambio cliente — endpoint deployed con args idénticos"
"createWhatsappTemplate","mutation","WhatsApp","mutation( $data:JSON, $development:String!){ createWhatsappTemplate(data:$data, development:$development){ _id title content createdAt } }","api-mcp","createWhatsappInvitationTemplate","alias","Alias trivial cliente → api-mcp","Cliente: renombrar `createWhatsappTemplate` → `createWhatsappInvitationTemplate` en Fetching.ts"
"deleteWhatsappInvitationTemplate","mutation","WhatsApp","mutation($evento_id:ID, $template_id: ID){ deleteWhatsappInvitationTemplate(evento_id:$evento_id, template_id:$template_id) }","api-mcp","deleteWhatsappInvitationTemplate","exact","Deployed 2026-05-16 en api-mcp PROD (verificado smoke test con idToken real)","Sin cambio cliente — endpoint deployed con args idénticos"
"getWhatsappInvitationTemplates","query","WhatsApp","query($evento_id:ID){ getWhatsappInvitationTemplates(evento_id:$evento_id) }","api-mcp","getWhatsappInvitationTemplates","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"updateWhatsappInvitationTemplate","mutation","WhatsApp","mutation($evento_id:ID, $template_id: ID, $data: JSON){ updateWhatsappInvitationTemplate(evento_id:$evento_id, template_id:$template_id, data:$data){ _id } }","api-mcp","updateWhatsappInvitationTemplate","exact","Deployed 2026-05-16 en api-mcp PROD (verificado smoke test con idToken real)","Sin cambio cliente — endpoint deployed con args idénticos"
"whatsappCreateSession","mutation","WhatsApp","mutation ($args: CreateWhatsAppSessionArgs!) { whatsappCreateSession(args: $args) { success session { id development userId isConnected qrCode phoneNumber connectionTime lastActivity } qrCode error } }","api-mcp","whatsappCreateSession","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"whatsappDisconnectSession","mutation","WhatsApp","mutation ($args: DisconnectWhatsAppSessionArgs!) { whatsappDisconnectSession(args: $args) { success error } }","api-mcp","whatsappDisconnectSession","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"whatsappGetSession","query","WhatsApp","query ($args: GetWhatsAppSessionArgs!) { whatsappGetSession(args: $args) { id development userId isConnected qrCode phoneNumber connectionTime lastActivity } }","api-mcp","whatsappGetSession","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"whatsappRegenerateQR","mutation","WhatsApp","mutation ($sessionId: String!) { whatsappRegenerateQR(sessionId: $sessionId) { success session { id development userId isConnected qrCode phoneNumber connectionTime lastActivity } qrCode error } }","api-mcp","whatsappRegenerateQR","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"whatsappSendMessage","mutation","WhatsApp","mutation ($args: SendWhatsAppMessageArgs!) { whatsappSendMessage(args: $args) { success messageId error } }","api-mcp","whatsappSendMessage","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"auth","mutation","Auth / Usuario","mutation ($idToken : String!){ auth(idToken: $idToken){ sessionCookie } }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"createUser","mutation","Auth / Usuario","mutation ($uid : ID, $city: String, $country : String, $weddingDate : String, $phoneNumber : String, $role : [String]) { createUser(uid: $uid, city : $city, country : $country, weddingDate : $weddingDate, phoneNumber : $phoneNumber, role: $role){ city country weddingDate phoneNumber role } }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"createUserWithPassword","mutation","Auth / Usuario","mutation($email:String, $password:String) { createUserWithPassword(email:$email, password:$password) }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"getPreregister","query","Auth / Usuario","query ($_id :ID){ getPreregister(_id:$_id) }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"getUser","query","Auth / Usuario","query ($uid: ID) { getUser(uid:$uid){ email photoURL onLine{ status } displayName phoneNumber role typeRole city country weddingDate signUpProgress status eventSelected createdAt updatedAt } }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"getUsers","query","Auth / Usuario","query ($uids:[ID]){ getUsers(uids:$uids){ uid email displayName photoURL onLine{ status dateConection } } }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"updateUser","mutation","Auth / Usuario","mutation ($uid:ID, $variable:String, $valor:String){ updateUser(uid:$uid, variable:$variable, valor:$valor){ city country } }","out-of-scope","","out-of-scope","Domain Auth / Usuario fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"getAllBusinesses","query","Directorio (Business/Products)","query ($criteria :searchCriteriaBusiness, $sort : sortCriteriaBusiness, $skip :Int, $limit : Int, $development: String!) { getAllBusinesses(searchCriteria:$criteria, sort: $sort, skip: $skip, limit: $limit, development: $development){ total results{ _id city businessName slug content imgMiniatura{ i1024 i800 i640 i320 } } } }","out-of-scope","","out-of-scope","Domain Directorio (Business/Products) fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"getAllProducts","query","Directorio (Business/Products)","query ($grupo:String) { getAllProducts(grupo:$grupo){ currency total results{ id name description images usage subscriptionId current_period_start current_period_end prices{ id currency unit_amount recurring{ interval trial_period_days } } metadata{ grupo includes segmento tipo caracteristica } } // ... (truncado)","out-of-scope","","out-of-scope","Domain Directorio (Business/Products) fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"createCheckoutSession","mutation","Stripe / Billing","mutation ($items:[inputItemsCheckout], $email:String, $cancel_url:String, $mode:String, $success_url:String){ createCheckoutSession(items:$items, email:$email, cancel_url:$cancel_url, mode:$mode, success_url:$success_url) }","out-of-scope","","out-of-scope","Domain Stripe / Billing fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"getCheckoutItems","query","Stripe / Billing","query ( $unique:ID ) { getCheckoutItems(unique:$unique){ currency amount name price quantity } }","out-of-scope","","out-of-scope","Domain Stripe / Billing fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"setCheckoutItems","mutation","Stripe / Billing","mutation ( $unique:ID, $args:[inputDetailsItemsCheckout] ) { setCheckoutItems(unique:$unique, args:$args) }","out-of-scope","","out-of-scope","Domain Stripe / Billing fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
"updateCustomer","mutation","Stripe / Billing","mutation($args:inputCustomer){ updateCustomer(args:$args) }","out-of-scope","","out-of-scope","Domain Stripe / Billing fuera de scope migración apiapp→api-mcp (informe aparte)","Mantener en api.bodasdehoy.com (3 backends coexisten por diseño)"
